id,left_id,right_id,label,left_name,left_description,left_price,right_name,right_description,right_price
0,730,775,0,lg 24 ' lds4821ww semi integrated built in white dishwasher lds4821wh,lg 24 ' lds4821ww semi integrated built in white dishwasher lds4821wh xl tall tub cleans up to 16 place settings at once adjustable upper rack lodecibel quiet operation senseclean wash system 4 wash cycles with 3 spray arms multi-level water direction slim direct drive motor semi-integrated electronic control panel white finish,,lg ldf6920bb fully integrated dishwasher,,
1,731,775,0,lg 24 ' lds4821bb semi integrated built in black dishwasher lds4821bk,lg 24 ' lds4821bb semi integrated built in black dishwasher lds4821bk xl tall tub cleans up to 16 place settings at once adjustable upper rack lodecibel quiet operation senseclean wash system 4 wash cycles with 3 spray arms multi-level water direction slim direct drive motor semi-integrated electronic control panel black finish,,lg ldf6920bb fully integrated dishwasher,,
2,735,775,1,lg 24 ' ldf6920bb fully integrated built in black dishwasher ldf6920bk,lg 24 ' ldf6920bb fully integrated built in black dishwasher ldf6920bk xl tall tub cleans up to 16 place settings at once adjustable upper rack lodecibel quiet operation senseclean wash system 5 wash cycles with 3 spray arms multi-level water direction slim direct drive motor fully integrated electronic control panel black finish,,lg ldf6920bb fully integrated dishwasher,,
3,732,775,0,lg 24 ' ldf6920ww fully integrated built in white dishwasher ldf6920wh,lg 24 ' ldf6920ww fully integrated built in white dishwasher ldf6920wh xl tall tub cleans up to 16 place settings at once adjustable upper rack lodecibel quiet operation senseclean wash system 5 wash cycles with 3 spray arms multi-level water direction slim direct drive motor fully integrated electronic control panel white finish,,lg ldf6920bb fully integrated dishwasher,,
4,734,775,0,lg 24 ' ldf6920st fully integrated built in stainless steel dishwasher ldf6920ss,lg 24 ' ldf6920st fully integrated built in stainless steel dishwasher ldf6920ss xl tall tub cleans up to 16 place settings at once adjustable upper rack lodecibel quiet operation senseclean wash system 5 wash cycles with 3 spray arms multi-level water direction slim direct drive motor fully integrated electronic control panel stainless steel finish,,lg ldf6920bb fully integrated dishwasher,,
5,730,845,0,lg 24 ' lds4821ww semi integrated built in white dishwasher lds4821wh,lg 24 ' lds4821ww semi integrated built in white dishwasher lds4821wh xl tall tub cleans up to 16 place settings at once adjustable upper rack lodecibel quiet operation senseclean wash system 4 wash cycles with 3 spray arms multi-level water direction slim direct drive motor semi-integrated electronic control panel white finish,,frigidaire fdb130rgs 24 ' built-in dishwasher ( white ),,246.54
6,45,845,0,whirlpool 24 ' built-in dishwasher du1100ss,whirlpool 24 ' built-in dishwasher du1100ss 14-five piece place setting super capacity tub 5 level wash temperature and pressure sensors 4 automatic cycles soak and scour option anyware plus silverware basket hard food disposer with self-cleaning filter quiet partner ii sound package energy star qualified black-on-stainless finish,,frigidaire fdb130rgs 24 ' built-in dishwasher ( white ),,246.54
7,220,845,0,frigidaire professional 24 ' pld4555rfc built-in stainless steel dishwasher pld4555ss,frigidaire professional 24 ' pld4555rfc built-in stainless steel dishwasher pld4555ss granitegrey interior idry intelligent saharadry system silentdesign sound insulation package 12 easy clean electronic touchpads digital display 5-level precision direct wash system with aquasurge and variable washing pressure smart soil sensor stainless steel finish,,frigidaire fdb130rgs 24 ' built-in dishwasher ( white ),,246.54
8,355,845,0,frigidaire gld4355rfb gallery speedclean 24 ' black dishwasher gld4355bk,frigidaire gld4355rfb gallery speedclean 24 ' black dishwasher gld4355bk 5-level precision direct wash system variable washing pressure power dry drying system granitegrey interior stainless steel food disposer and self cleaning filter 12 easy clean electronic touchpads with digital display smart soil sensor ultraquiet plus sound insulation package black finish,,frigidaire fdb130rgs 24 ' built-in dishwasher ( white ),,246.54
9,39,845,0,ge gsd4000nww white built-in dishwasher gsd4000wh,ge gsd4000nww white built-in dishwasher gsd4000wh 5-level powerscrub wash system with powershower electronic controls 100 percent water filtration with extrafine filter 2/4/8-hour delay start china/crystal cycle white finish,,frigidaire fdb130rgs 24 ' built-in dishwasher ( white ),,246.54
